w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Ltx_uH
2,2.2,3.4,3.2,4.4,6.4,0,0.5,14,34,0.175,0.08,2,5,0.105,0.1,0.1,0.21,0.5,0.9,2.6,1.8,2,21,1.1,0.2,0.5,1.7,0.33,1.6,15.1627698738468
3.2,3.4,8.2,2,9.2,26.8,0,0.5,14,33,0.105,0.08,2,34,0.07,0.05,0.1,0.31,1,0.9,4.6,3.5,8,2,4,1.5,1.8,1.6,0.28,3.1,17.3487385540276
3.2,1,4.6,3.2,11.6,49.6,0,0.51,14,28,0.175,0.07,2,24,0.14,0.08,0.1,0.42,0.9,3.2,3.6,4.5,19,2,3.5,1.1,2.7,3.6,0.12,2.4,20.7064291514291
4.4,1,1,2,9.2,6.4,0,0.51,14,33,0.07,0.02,2,32,0.14,0.08,0.1,0.36,1,4.4,2.9,2.2,29,12,3.3,4.2,0.2,3.8,0.56,1.7,21.5967712443557
3.2,2.2,10.6,3.2,10.4,34,0,0.51,14,15,0.07,0.02,2,23,0.105,0.09,0.1,0.27,0.8,1.7,3.9,3.2,11,11,1.2,4.1,3.9,0.7,0.66,3,22.58698079043
4.4,4.6,2.2,2,4.4,14.8,0,0.5,14,14,0.105,0.01,2,29,0.105,0.03,0.1,0.13,0.3,1,1.6,3.8,28,9,0.4,4.6,4.9,1.6,0.28,1.5,23.8225750855351
3.2,7,9.4,3.2,3.2,28,0,0.5,14,15,0.07,0.01,2,14,0.14,0.01,0.1,0.25,0.4,0.5,1.8,1.5,21,3,4.1,4.5,4.3,0.5,0.21,1.3,25.7882302887764
4.4,5.8,7,2,3.2,8.8,0,0.51,14,33,0.07,0.05,2,6,0.035,0.02,0.1,0.15,0.4,2.5,1.3,2,24,16,4.5,0.5,1.6,4.3,0.13,1.2,27.546472549856
4.4,2.2,4.6,3.2,3.2,23.2,0,0.51,14,10,0.105,0.07,2,6,0.14,0.1,0.1,0.23,0.4,0.3,1.8,3.3,25,16,3.6,1.8,1,1.7,0.22,1.1,27.7744551744936
6.8,1,7,2,11.6,44.8,0,0.5,14,27,0.14,0.04,2,19,0.175,0.06,0.1,0.28,1.1,2.9,5,4.6,13,24,4.3,3.4,4.3,3.5,0.17,2.2,28.03227340325
