w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_bottom_left_T
35.6,2.2,5.8,12.8,22.4,42.4,0.0,0.5,14.0,17.0,0.105,0.08,2.0,11.0,0.07,0.03,0.1,0.18,2.0,2.1,3.9,4.1,22.0,7.0,2.7,4.8,3.6,0.9,1.65,3.8,0.0503342663922355
52.4,4.6,2.2,26.0,14.0,19.6,0.0,0.51,14.0,28.0,0.105,0.07,2.0,29.0,0.07,0.01,0.1,0.45,1.8,3.6,4.3,5.0,17.0,17.0,4.5,2.7,3.9,3.2,0.91,2.8,0.091516708474517
40.4,7.0,11.8,6.8,21.2,7.6,0.0,0.5,14.0,23.0,0.07,0.04,2.0,32.0,0.175,0.03,0.1,0.43,2.6,0.9,5.0,4.6,1.0,11.0,3.7,2.0,3.1,1.9,0.26,3.4,0.0220154858314551
32.0,5.8,10.6,24.8,22.4,38.8,0.0,0.5,14.0,35.0,0.14,0.08,2.0,27.0,0.035,0.01,0.1,0.12,2.1,3.9,3.7,4.7,12.0,4.0,0.2,5.0,2.3,3.3,1.96,3.6,0.0309305051233454
34.4,8.2,2.2,10.4,14.0,29.2,0.0,0.5,14.0,30.0,0.14,0.04,2.0,34.0,0.105,0.1,0.1,0.41,1.4,2.4,4.9,4.0,25.0,7.0,1.8,1.1,4.0,0.5,1.35,1.0,0.137398378978239
24.8,4.6,9.4,14.0,15.2,28.0,0.0,0.51,14.0,34.0,0.175,0.02,2.0,18.0,0.07,0.06,0.1,0.21,1.2,3.5,4.9,3.6,8.0,14.0,4.0,5.0,2.1,3.1,1.18,3.2,0.0465989010956463
26.0,3.4,5.8,2.0,6.8,12.4,0.0,0.51,14.0,29.0,0.175,0.06,2.0,16.0,0.175,0.04,0.1,0.45,0.9,1.6,1.8,2.5,19.0,1.0,2.2,2.4,0.9,4.6,0.27,1.7,0.0708685059276025
30.8,8.2,9.4,21.2,10.4,47.2,0.0,0.5,14.0,17.0,0.07,0.03,2.0,26.0,0.07,0.06,0.1,0.44,0.7,0.9,3.2,4.5,23.0,17.0,4.9,4.7,3.4,2.0,0.27,1.4,0.0349577583757227
9.2,7.0,11.8,14.0,14.0,8.8,0.0,0.5,14.0,25.0,0.175,0.06,2.0,10.0,0.14,0.06,0.1,0.22,1.7,1.7,3.4,4.1,28.0,9.0,5.0,4.8,2.0,1.5,0.72,2.0,0.0990706224731766
20.0,3.4,8.2,5.6,21.2,5.2,0.0,0.5,14.0,30.0,0.14,0.09,2.0,20.0,0.035,0.02,0.1,0.3,1.8,3.4,4.7,3.6,5.0,4.0,0.1,4.7,4.6,0.7,1.6,3.5,0.0645208090037617
23.6,11.8,9.4,20.0,8.0,40.0,0.0,0.51,14.0,32.0,0.105,0.06,2.0,8.0,0.035,0.02,0.1,0.04,1.0,4.0,2.8,2.8,16.0,7.0,4.7,2.0,3.6,3.1,0.25,2.1,0.0476112578288938
42.8,9.4,13.0,5.6,16.4,5.2,0.0,0.51,14.0,29.0,0.175,0.06,2.0,30.0,0.105,0.01,0.1,0.5,1.4,2.3,4.8,3.9,0.0,1.0,0.2,1.7,1.5,2.6,0.85,1.8,0.0192176501700014
24.8,13.0,8.2,26.0,22.4,44.8,0.0,0.5,14.0,29.0,0.14,0.1,2.0,21.0,0.07,0.03,0.1,0.15,1.8,3.9,4.8,3.8,13.0,11.0,0.4,4.0,3.2,4.7,0.47,3.5,0.0514407279222216
48.8,7.0,4.6,26.0,20.0,40.0,0.0,0.5,14.0,17.0,0.14,0.03,2.0,30.0,0.14,0.07,0.1,0.48,1.1,1.2,4.7,5.0,23.0,23.0,2.3,2.9,1.7,0.2,0.75,4.5,0.0432794721930646
50.0,2.2,9.4,21.2,5.6,8.8,0.0,0.51,14.0,10.0,0.14,0.06,2.0,11.0,0.105,0.01,0.1,0.19,0.6,0.7,2.6,4.0,12.0,2.0,1.8,1.0,1.2,3.5,0.4,1.8,0.0219591934065979
21.2,3.4,8.2,16.4,5.6,43.6,0.0,0.5,14.0,21.0,0.14,0.01,2.0,31.0,0.07,0.07,0.1,0.35,0.6,1.0,3.2,3.4,28.0,17.0,3.8,1.2,1.2,4.8,0.34,1.4,0.058493191857505
22.4,9.4,13.0,16.4,18.8,11.2,0.0,0.51,14.0,18.0,0.035,0.02,2.0,23.0,0.14,0.08,0.1,0.35,1.1,1.1,4.3,3.4,15.0,2.0,1.4,0.5,1.7,2.6,0.5,1.7,0.0360666507257494
41.6,11.8,11.8,5.6,11.6,4.0,0.0,0.51,14.0,25.0,0.175,0.04,2.0,14.0,0.175,0.05,0.1,0.3,1.3,1.0,2.8,2.2,12.0,7.0,2.4,3.8,1.5,0.8,0.64,1.0,0.0221165594683358
11.6,13.0,8.2,10.4,15.2,35.2,0.0,0.5,14.0,24.0,0.175,0.07,2.0,23.0,0.105,0.1,0.1,0.46,1.4,1.8,2.5,2.9,10.0,18.0,2.0,3.8,0.7,2.3,0.26,2.1,0.110074555559982
44.0,5.8,5.8,6.8,10.4,38.8,0.0,0.51,14.0,34.0,0.07,0.02,2.0,22.0,0.14,0.04,0.1,0.49,1.0,2.3,2.7,3.6,26.0,29.0,1.3,4.1,1.8,4.6,0.87,2.2,0.0401391492005921
29.6,2.2,8.2,16.4,12.8,43.6,0.0,0.51,14.0,12.0,0.07,0.05,2.0,23.0,0.14,0.08,0.1,0.35,1.4,0.2,4.5,4.9,22.0,3.0,0.3,2.5,1.6,4.0,0.18,1.7,0.0431187698472129
35.6,5.8,10.6,20.0,6.8,44.8,0.0,0.5,14.0,15.0,0.175,0.02,2.0,32.0,0.14,0.05,0.1,0.21,0.7,1.2,3.8,4.6,20.0,26.0,3.8,1.1,2.8,4.5,0.21,1.5,0.0280159928583498
26.0,11.8,8.2,24.8,16.4,31.6,0.0,0.5,14.0,32.0,0.14,0.06,2.0,8.0,0.14,0.09,0.1,0.33,2.1,4.1,4.5,3.8,22.0,4.0,1.9,2.4,1.3,1.7,0.53,2.2,0.0492679864739795
22.4,11.8,5.8,24.8,20.0,41.2,0.0,0.51,14.0,31.0,0.14,0.01,2.0,27.0,0.07,0.04,0.1,0.23,2.0,1.2,4.0,3.5,11.0,14.0,1.1,2.6,2.5,3.4,1.06,2.2,0.0792861377402829
28.4,4.6,7.0,26.0,17.6,10.0,0.0,0.51,14.0,20.0,0.175,0.09,2.0,34.0,0.07,0.02,0.1,0.18,1.5,2.0,4.7,3.2,24.0,24.0,4.2,2.5,2.7,5.0,1.17,2.5,0.0490768845916311
36.8,4.6,10.6,11.6,21.2,18.4,0.0,0.5,14.0,17.0,0.175,0.09,2.0,18.0,0.14,0.01,0.1,0.2,1.2,1.8,4.8,3.9,9.0,27.0,2.8,0.5,1.4,0.9,0.59,3.4,0.0257199314448654
9.2,5.8,8.2,9.2,8.0,10.0,0.0,0.51,14.0,28.0,0.14,0.07,2.0,7.0,0.105,0.06,0.1,0.42,0.9,2.6,2.2,4.6,19.0,23.0,1.0,0.3,0.9,0.5,0.22,1.4,0.142403097318614
45.2,13.0,2.2,11.6,16.4,32.8,0.0,0.5,14.0,29.0,0.07,0.06,2.0,25.0,0.07,0.03,0.1,0.32,1.7,1.8,2.8,3.9,29.0,10.0,3.9,3.3,1.6,1.8,1.29,2.4,0.104869052387297
51.2,4.6,3.4,9.2,10.4,43.6,0.0,0.51,14.0,22.0,0.14,0.07,2.0,34.0,0.105,0.03,0.1,0.2,0.8,2.7,3.9,4.3,24.0,10.0,4.5,0.2,2.6,2.9,0.47,2.7,0.0630300733510701
10.4,9.4,11.8,15.2,16.4,40.0,0.0,0.51,14.0,24.0,0.175,0.01,2.0,30.0,0.14,0.04,0.1,0.37,1.0,0.6,4.3,3.6,11.0,6.0,1.0,1.2,1.0,2.2,0.58,2.9,0.0855328235836501
46.4,13.0,5.8,17.6,15.2,8.8,0.0,0.5,14.0,31.0,0.175,0.04,2.0,30.0,0.105,0.08,0.1,0.31,1.6,0.3,3.6,4.1,27.0,4.0,0.3,0.8,4.5,4.0,0.27,1.4,0.038968258329677
38.0,5.8,11.8,20.0,4.4,53.2,0.0,0.51,14.0,34.0,0.105,0.01,2.0,13.0,0.035,0.03,0.1,0.09,0.4,0.4,1.7,3.8,24.0,17.0,1.4,2.5,1.6,0.9,0.3,1.2,0.0238439941939218
28.4,3.4,13.0,20.0,4.4,37.6,0.0,0.5,14.0,22.0,0.105,0.03,2.0,27.0,0.07,0.07,0.1,0.37,0.5,2.9,2.5,4.6,11.0,6.0,4.1,4.7,4.1,1.1,0.17,1.7,0.0296675002686829
28.4,10.6,8.2,11.6,16.4,20.8,0.0,0.5,14.0,19.0,0.07,0.03,2.0,7.0,0.175,0.06,0.1,0.36,1.8,1.7,3.2,2.7,22.0,11.0,2.8,1.9,1.2,5.0,0.89,2.6,0.0450673358289647
46.4,3.4,9.4,15.2,5.6,8.8,0.0,0.5,14.0,14.0,0.105,0.1,2.0,20.0,0.035,0.01,0.1,0.18,0.6,1.4,3.1,1.4,21.0,26.0,4.7,3.5,1.0,3.2,0.22,1.3,0.0248223140118385
10.4,9.4,8.2,17.6,15.2,43.6,0.0,0.5,14.0,34.0,0.175,0.06,2.0,34.0,0.105,0.06,0.1,0.44,1.5,1.4,4.6,4.9,25.0,1.0,3.7,4.8,0.6,3.3,1.18,1.7,0.119574418973725
48.8,5.8,4.6,3.2,3.2,18.4,0.0,0.5,14.0,33.0,0.105,0.09,2.0,33.0,0.105,0.04,0.1,0.3,0.3,2.6,1.1,1.4,6.0,9.0,4.8,4.9,1.9,0.5,0.24,1.0,0.0511364385792916
40.4,9.4,9.4,8.0,6.8,19.6,0.0,0.5,14.0,25.0,0.105,0.1,2.0,28.0,0.07,0.05,0.1,0.42,0.4,2.6,4.1,4.2,11.0,26.0,4.9,0.9,1.6,4.2,0.11,1.3,0.0311194310804935
18.8,8.2,5.8,17.6,20.0,16.0,0.0,0.5,14.0,14.0,0.14,0.1,2.0,9.0,0.175,0.1,0.1,0.37,1.7,1.6,4.7,4.3,6.0,6.0,2.3,4.5,0.4,1.2,1.34,2.8,0.0925669797935218
24.8,13.0,4.6,24.8,8.0,48.4,0.0,0.51,14.0,29.0,0.14,0.09,2.0,30.0,0.14,0.01,0.1,0.48,0.9,2.2,3.4,3.6,11.0,24.0,4.4,0.3,1.9,2.4,0.63,1.0,0.094902831868408
39.2,13.0,5.8,3.2,5.6,52.0,0.0,0.5,14.0,35.0,0.175,0.1,2.0,33.0,0.175,0.07,0.1,0.37,0.6,4.5,2.9,2.8,15.0,1.0,3.4,3.1,4.8,1.5,0.39,1.5,0.0484181057117435
34.4,8.2,10.6,20.0,18.8,11.2,0.0,0.5,14.0,28.0,0.035,0.03,2.0,35.0,0.14,0.09,0.1,0.23,2.1,1.6,4.9,4.5,9.0,1.0,3.5,2.3,2.5,1.7,0.25,1.7,0.0286188766196265
24.8,10.6,13.0,10.4,15.2,4.0,0.0,0.5,14.0,28.0,0.07,0.04,2.0,31.0,0.105,0.01,0.1,0.29,1.9,2.1,3.9,3.4,22.0,23.0,3.1,0.1,0.3,2.5,0.71,1.4,0.0336396223246351
8.0,7.0,13.0,12.8,12.8,47.2,0.0,0.51,14.0,33.0,0.175,0.05,2.0,13.0,0.14,0.02,0.1,0.46,1.1,0.9,4.5,3.9,16.0,30.0,2.7,4.3,4.3,2.4,0.43,2.5,0.0988280189745477
52.4,3.4,11.8,12.8,15.2,16.0,0.0,0.51,14.0,20.0,0.14,0.04,2.0,20.0,0.105,0.1,0.1,0.29,1.4,1.5,4.4,3.6,19.0,26.0,3.1,2.8,2.2,5.0,0.98,1.1,0.0167358141871337
11.6,7.0,5.8,14.0,21.2,23.2,0.0,0.5,14.0,35.0,0.175,0.07,2.0,23.0,0.07,0.01,0.1,0.3,1.3,2.8,5.0,4.8,2.0,10.0,4.1,3.4,4.9,4.4,0.9,2.0,0.161678861881743
22.4,2.2,10.6,5.6,17.6,6.4,0.0,0.5,14.0,8.0,0.035,0.03,2.0,23.0,0.105,0.03,0.1,0.42,1.9,1.0,4.5,3.7,1.0,15.0,1.1,3.4,0.2,3.4,0.34,3.6,0.0436640842281423
42.8,3.4,9.4,21.2,11.6,10.0,0.0,0.51,14.0,19.0,0.105,0.06,2.0,33.0,0.035,0.02,0.1,0.1,0.8,1.5,4.4,4.5,6.0,3.0,0.8,4.0,4.9,2.9,0.49,2.5,0.0254732481735701
26.0,7.0,5.8,5.6,12.8,41.2,0.0,0.5,14.0,9.0,0.105,0.1,2.0,29.0,0.07,0.02,0.1,0.37,1.3,0.4,4.8,3.6,17.0,18.0,2.8,0.6,4.0,1.5,0.23,3.1,0.0700182471084498
47.6,8.2,3.4,8.0,11.6,30.4,0.0,0.51,14.0,21.0,0.07,0.03,2.0,30.0,0.14,0.1,0.1,0.46,0.8,0.7,4.4,4.1,14.0,9.0,2.1,0.4,0.6,3.7,0.27,2.0,0.0652136169901857
32.0,1.0,11.8,8.0,8.0,44.8,0.0,0.5,14.0,27.0,0.14,0.02,2.0,13.0,0.175,0.04,0.1,0.25,0.6,1.5,4.0,4.9,14.0,1.0,3.7,2.0,2.9,1.2,0.44,1.3,0.0279278709193488
14.0,4.6,8.2,8.0,26.0,46.0,0.0,0.51,14.0,20.0,0.105,0.05,2.0,24.0,0.105,0.08,0.1,0.35,3.5,1.4,4.4,4.1,11.0,17.0,1.4,2.9,2.3,2.8,0.15,3.9,0.0915699019305195
11.6,13.0,10.6,8.0,22.4,43.6,0.0,0.5,14.0,23.0,0.175,0.06,2.0,31.0,0.105,0.07,0.1,0.39,2.5,1.9,4.2,3.8,30.0,20.0,4.5,3.6,0.8,2.0,0.11,3.2,0.0857321383583057
17.6,4.6,9.4,6.8,4.4,29.2,0.0,0.5,14.0,29.0,0.175,0.09,2.0,23.0,0.14,0.1,0.1,0.23,0.3,3.6,1.5,1.9,7.0,9.0,3.8,2.7,2.2,1.4,0.19,1.1,0.0646099449128045
27.2,4.6,9.4,17.6,5.6,29.2,0.0,0.5,14.0,28.0,0.14,0.08,2.0,21.0,0.14,0.06,0.1,0.36,0.4,0.2,2.7,3.9,26.0,8.0,2.4,2.4,2.0,4.5,0.13,1.4,0.0443725611978545
26.0,7.0,10.6,26.0,15.2,6.4,0.0,0.51,14.0,32.0,0.175,0.1,2.0,15.0,0.035,0.02,0.1,0.07,1.2,0.7,4.5,4.8,22.0,19.0,1.7,2.4,1.9,2.0,0.69,4.2,0.0372929647898444
52.4,1.0,13.0,12.8,16.4,11.2,0.0,0.5,14.0,28.0,0.14,0.05,2.0,18.0,0.175,0.05,0.1,0.39,1.3,2.9,3.2,4.9,30.0,8.0,4.1,1.2,4.6,0.9,0.2,1.9,0.0145739213039797
24.8,4.6,13.0,22.4,11.6,17.2,0.0,0.51,14.0,12.0,0.07,0.05,2.0,29.0,0.14,0.06,0.1,0.26,1.3,1.4,4.2,3.1,30.0,17.0,4.4,2.4,0.5,3.2,0.31,2.1,0.0324553982625798
12.8,13.0,7.0,22.4,15.2,44.8,0.0,0.5,14.0,34.0,0.175,0.01,2.0,24.0,0.105,0.08,0.1,0.45,1.7,4.4,2.7,4.1,16.0,12.0,4.3,1.9,0.6,1.3,0.76,2.3,0.114961545259543
28.4,2.2,13.0,9.2,14.0,47.2,0.0,0.51,14.0,24.0,0.105,0.02,2.0,29.0,0.105,0.05,0.1,0.39,1.2,1.6,3.6,4.9,14.0,8.0,0.7,0.6,2.8,1.2,1.01,2.3,0.0273689016498641
32.0,3.4,9.4,23.6,5.6,19.6,0.0,0.5,14.0,28.0,0.175,0.03,2.0,25.0,0.14,0.03,0.1,0.18,0.4,2.0,3.2,4.0,13.0,26.0,3.0,0.2,2.5,2.0,0.18,1.3,0.0355770292348309
23.6,10.6,11.8,5.6,14.0,24.4,0.0,0.51,14.0,32.0,0.175,0.06,2.0,4.0,0.105,0.03,0.1,0.4,1.3,1.2,3.3,1.2,6.0,1.0,0.8,4.9,1.6,1.9,0.55,1.1,0.0378793644878942
