w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,Lrx2_uH
50.0,1.0,5.8,3.2,15.2,28.0,0.0,0.51,14.0,31.0,0.14,0.07,2.0,17.0,0.07,0.07,0.1,0.38,1.6,1.5,4.8,4.9,6.0,17.0,4.0,3.7,0.5,0.8,0.48,1.4,9.17985574492501
45.2,8.2,7.0,12.8,21.2,35.2,0.0,0.51,14.0,31.0,0.105,0.01,2.0,22.0,0.07,0.07,0.1,0.29,2.7,3.6,4.2,2.5,10.0,9.0,4.0,0.9,1.7,4.9,0.12,2.3,32.5722372802321
14.0,5.8,4.6,15.2,18.8,22.0,0.0,0.51,14.0,22.0,0.175,0.03,2.0,35.0,0.175,0.03,0.1,0.17,2.2,2.4,4.0,4.8,19.0,1.0,1.1,3.6,0.9,4.4,1.76,2.9,10.0286141267194
33.2,9.4,8.2,18.8,16.4,53.2,0.0,0.5,14.0,23.0,0.175,0.06,2.0,17.0,0.105,0.03,0.1,0.46,0.8,2.4,3.6,4.2,16.0,30.0,3.5,4.5,2.5,0.9,0.57,3.0,31.4573086516574
34.4,5.8,2.2,11.6,22.4,44.8,0.0,0.51,14.0,32.0,0.14,0.03,2.0,26.0,0.175,0.02,0.1,0.28,1.1,1.0,4.8,4.3,24.0,24.0,0.5,3.3,4.9,4.2,0.62,3.3,18.4761045252291
15.2,5.8,3.4,6.8,14.0,10.0,0.0,0.5,14.0,30.0,0.175,0.04,2.0,12.0,0.035,0.01,0.1,0.22,1.0,3.6,3.3,5.0,21.0,25.0,2.8,2.5,3.1,0.1,0.74,1.4,7.83875928716321
30.8,1.0,9.4,4.4,17.6,8.8,0.0,0.51,14.0,31.0,0.07,0.07,2.0,9.0,0.175,0.06,0.1,0.37,1.4,1.3,4.8,3.2,8.0,22.0,1.7,0.1,4.4,1.1,0.74,2.1,7.01385407289923
51.2,2.2,8.2,12.8,12.8,52.0,0.0,0.51,14.0,30.0,0.105,0.09,2.0,16.0,0.07,0.07,0.1,0.37,1.3,3.6,4.8,4.2,21.0,4.0,2.4,3.9,0.4,3.7,1.03,1.7,19.9996194365563
18.8,1.0,1.0,22.4,11.6,18.4,0.0,0.51,14.0,26.0,0.105,0.01,2.0,34.0,0.175,0.06,0.1,0.39,1.3,0.8,3.0,3.7,10.0,29.0,3.0,2.3,4.9,0.1,0.39,1.2,5.85006901179897
18.8,8.2,3.4,24.8,5.6,16.0,0.0,0.51,14.0,33.0,0.14,0.04,2.0,27.0,0.07,0.06,0.1,0.33,0.7,0.3,1.9,2.2,27.0,29.0,3.7,1.9,0.8,2.5,0.18,1.0,20.3557497118242
35.6,4.6,5.8,12.8,5.6,52.0,0.0,0.5,14.0,19.0,0.175,0.07,2.0,19.0,0.175,0.06,0.1,0.18,0.6,1.7,2.8,2.0,7.0,9.0,2.0,1.3,1.9,4.0,0.3,1.3,20.4450531665715
33.2,2.2,7.0,4.4,12.8,50.8,0.0,0.51,14.0,17.0,0.035,0.02,2.0,16.0,0.105,0.06,0.1,0.34,1.4,1.3,2.7,3.3,2.0,13.0,0.9,3.6,1.2,1.9,0.11,1.6,8.49991598154916
45.2,10.6,3.4,11.6,21.2,13.6,0.0,0.51,14.0,25.0,0.14,0.04,2.0,14.0,0.14,0.01,0.1,0.2,1.5,1.5,4.7,4.3,23.0,15.0,0.8,2.9,1.8,3.0,1.15,1.9,33.3895242263311
51.2,11.8,5.8,6.8,3.2,18.4,0.0,0.51,14.0,9.0,0.105,0.02,2.0,11.0,0.07,0.05,0.1,0.11,0.2,0.5,1.8,3.3,29.0,21.0,4.9,4.1,2.6,1.4,0.11,1.2,29.7388415836605
36.8,5.8,5.8,20.0,8.0,37.6,0.0,0.5,14.0,24.0,0.14,0.05,2.0,16.0,0.175,0.07,0.1,0.3,0.8,2.5,4.6,2.2,8.0,10.0,4.7,2.2,2.1,0.6,0.43,1.7,28.9497794992082
38.0,11.8,13.0,20.0,26.0,12.4,0.0,0.5,14.0,9.0,0.175,0.08,2.0,12.0,0.07,0.04,0.1,0.46,3.2,1.0,5.0,4.8,12.0,14.0,1.9,1.1,3.6,2.3,0.85,3.1,44.2524714146418
8.0,8.2,2.2,10.4,15.2,25.6,0.0,0.5,14.0,22.0,0.105,0.04,2.0,14.0,0.175,0.02,0.1,0.48,1.4,2.7,4.7,3.5,17.0,25.0,0.6,1.7,1.5,3.8,0.28,1.0,5.50945689159346
12.8,7.0,3.4,11.6,8.0,17.2,0.0,0.51,14.0,32.0,0.14,0.09,2.0,25.0,0.035,0.02,0.1,0.5,1.0,0.7,1.9,2.7,19.0,11.0,2.7,1.1,4.7,2.2,0.69,1.7,9.4531762757572
47.6,4.6,9.4,16.4,11.6,35.2,0.0,0.5,14.0,35.0,0.105,0.08,2.0,13.0,0.175,0.03,0.1,0.27,1.2,3.3,3.8,2.2,25.0,26.0,1.3,3.2,2.8,1.9,0.86,1.9,31.6121197387555
16.4,11.8,2.2,14.0,5.6,22.0,0.0,0.51,14.0,28.0,0.035,0.03,2.0,33.0,0.105,0.01,0.1,0.17,0.5,2.6,3.5,2.2,28.0,2.0,3.1,3.8,4.1,2.7,0.28,1.0,14.8051645347175
15.2,1.0,7.0,5.6,17.6,36.4,0.0,0.51,14.0,13.0,0.07,0.07,2.0,15.0,0.175,0.05,0.1,0.43,1.8,1.1,3.0,3.3,23.0,8.0,0.7,0.2,1.2,4.1,1.02,2.6,3.77040318572637
46.4,7.0,10.6,16.4,20.0,49.6,0.0,0.5,14.0,33.0,0.14,0.01,2.0,12.0,0.105,0.05,0.1,0.31,2.0,0.8,4.2,3.5,5.0,20.0,0.1,4.7,2.3,0.8,0.67,2.9,35.9601804816885
17.6,10.6,2.2,11.6,8.0,50.8,0.0,0.51,14.0,23.0,0.105,0.06,2.0,27.0,0.07,0.07,0.1,0.39,0.5,1.2,3.9,5.0,14.0,14.0,3.0,0.4,3.9,3.3,0.34,2.5,12.6892101258374
42.8,2.2,10.6,9.2,6.8,53.2,0.0,0.5,14.0,31.0,0.14,0.02,2.0,27.0,0.14,0.04,0.1,0.46,0.3,1.7,3.3,3.8,11.0,11.0,2.8,1.6,2.5,3.9,0.19,3.0,14.9994952404684
40.4,1.0,13.0,3.2,20.0,5.2,0.0,0.51,14.0,28.0,0.07,0.06,2.0,32.0,0.07,0.02,0.1,0.26,1.8,2.4,4.2,4.1,30.0,27.0,3.1,4.4,3.5,3.0,0.73,3.6,8.22780899243725
50.0,11.8,3.4,11.6,21.2,36.4,0.0,0.5,14.0,18.0,0.105,0.04,2.0,26.0,0.105,0.02,0.1,0.34,1.0,1.1,3.7,4.6,18.0,21.0,3.5,1.4,1.6,2.9,0.49,2.8,36.1441589775766
45.2,3.4,2.2,21.2,4.4,28.0,0.0,0.51,14.0,34.0,0.14,0.1,2.0,13.0,0.105,0.02,0.1,0.36,0.3,1.9,2.0,4.4,0.0,30.0,3.2,3.7,1.1,0.5,0.21,1.9,26.5072716119959
41.6,2.2,10.6,22.4,5.6,24.4,0.0,0.5,14.0,21.0,0.035,0.01,2.0,23.0,0.07,0.01,0.1,0.48,0.7,1.3,2.8,5.0,11.0,3.0,0.4,3.8,3.9,1.7,0.38,1.4,19.4343260098486
41.6,2.2,4.6,8.0,17.6,10.0,0.0,0.5,14.0,31.0,0.175,0.05,2.0,31.0,0.07,0.01,0.1,0.13,2.0,1.9,4.4,3.4,9.0,5.0,2.1,3.8,0.8,2.5,0.51,3.3,15.3446424667383
21.2,3.4,11.8,22.4,23.6,8.8,0.0,0.51,14.0,32.0,0.14,0.01,2.0,31.0,0.175,0.04,0.1,0.2,3.1,3.5,5.0,4.0,18.0,28.0,0.7,0.3,4.2,1.5,0.96,3.1,14.7871363797999
27.2,7.0,10.6,14.0,24.8,42.4,0.0,0.51,14.0,29.0,0.175,0.05,2.0,14.0,0.14,0.03,0.1,0.22,1.7,3.3,4.8,3.9,12.0,28.0,3.4,3.2,2.1,1.1,0.98,3.2,20.5190633536379
8.0,11.8,10.6,15.2,10.4,11.2,0.0,0.51,14.0,26.0,0.14,0.05,2.0,14.0,0.105,0.08,0.1,0.12,1.1,1.7,3.1,2.8,3.0,13.0,0.3,0.3,3.7,4.1,0.83,2.3,8.60390747637166
35.6,5.8,4.6,20.0,5.6,40.0,0.0,0.5,14.0,26.0,0.07,0.02,2.0,9.0,0.105,0.07,0.1,0.22,0.6,2.0,3.6,4.7,24.0,3.0,0.3,0.7,4.1,0.1,0.52,1.5,27.4340201410997
38.0,9.4,11.8,17.6,12.8,44.8,0.0,0.51,14.0,34.0,0.07,0.02,2.0,10.0,0.105,0.05,0.1,0.19,1.0,0.8,4.6,4.7,27.0,23.0,1.0,1.2,3.6,0.8,0.43,2.5,35.2094990461986
10.4,2.2,9.4,14.0,10.4,32.8,0.0,0.5,14.0,16.0,0.105,0.09,2.0,6.0,0.105,0.09,0.1,0.27,1.1,1.4,3.7,3.6,15.0,7.0,4.2,4.5,3.0,3.7,0.94,1.0,5.1392084618012
40.4,2.2,10.6,24.8,18.8,29.2,0.0,0.5,14.0,22.0,0.14,0.08,2.0,28.0,0.07,0.01,0.1,0.36,1.4,2.8,3.3,4.2,7.0,20.0,1.9,1.2,4.2,2.1,0.54,2.6,20.6013793080402
52.4,2.2,9.4,5.6,16.4,50.8,0.0,0.5,14.0,29.0,0.175,0.1,2.0,5.0,0.14,0.01,0.1,0.45,2.0,3.0,3.7,1.8,0.0,21.0,0.6,1.2,4.2,3.8,1.31,1.3,15.0803330909836
20.0,9.4,7.0,17.6,17.6,30.4,0.0,0.5,14.0,35.0,0.14,0.02,2.0,21.0,0.07,0.04,0.1,0.17,1.8,1.4,3.6,3.5,19.0,7.0,3.4,3.8,2.8,0.2,1.32,2.2,19.0413032471211
22.4,11.8,9.4,16.4,20.0,14.8,0.0,0.51,14.0,32.0,0.175,0.08,2.0,31.0,0.14,0.07,0.1,0.42,1.2,4.1,4.0,4.0,3.0,3.0,3.9,2.9,3.0,1.6,0.39,2.9,24.2820085691994
20.0,10.6,4.6,12.8,20.0,34.0,0.0,0.51,14.0,34.0,0.07,0.04,2.0,16.0,0.07,0.03,0.1,0.26,2.4,3.0,4.9,3.9,20.0,16.0,3.4,1.0,2.9,3.9,0.88,1.4,15.8913749491645
9.2,8.2,2.2,11.6,23.6,19.6,0.0,0.51,14.0,13.0,0.14,0.03,2.0,31.0,0.14,0.08,0.1,0.49,0.9,1.6,4.1,4.6,11.0,17.0,2.7,3.9,3.8,1.4,0.87,3.2,6.3671651816765
9.2,1.0,11.8,10.4,8.0,10.0,0.0,0.51,14.0,25.0,0.105,0.03,2.0,12.0,0.105,0.03,0.1,0.36,0.5,2.2,4.2,4.2,8.0,3.0,3.7,4.9,0.2,4.8,0.44,1.6,3.05520024259967
14.0,2.2,10.6,9.2,15.2,14.8,0.0,0.5,14.0,26.0,0.14,0.05,2.0,30.0,0.14,0.09,0.1,0.27,2.0,2.3,3.3,4.2,29.0,13.0,4.9,3.8,1.5,1.4,0.57,2.9,5.84279510662269
17.6,4.6,2.2,6.8,10.4,20.8,0.0,0.5,14.0,27.0,0.035,0.03,2.0,31.0,0.175,0.1,0.1,0.28,1.0,3.7,5.0,4.6,17.0,5.0,1.0,3.2,0.7,3.1,0.16,1.0,7.83343418563565
