w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_bottom_left
41.6,2.2,1.0,12.8,11.6,29.2,0.0,0.51,14.0,25.0,0.175,0.09,2.0,23.0,0.105,0.08,0.1,0.42,1.0,1.6,4.7,3.9,12.0,22.0,3.5,3.9,0.9,3.0,0.11,2.1,0.23743718529055
46.4,13.0,1.0,14.0,4.4,34.0,0.0,0.5,14.0,28.0,0.14,0.03,2.0,26.0,0.14,0.07,0.1,0.28,0.3,1.1,2.4,5.0,17.0,24.0,1.5,3.6,2.3,1.8,0.2,1.4,0.233559638130695
20.0,9.4,2.2,22.4,18.8,24.4,0.0,0.51,14.0,26.0,0.14,0.1,2.0,12.0,0.175,0.03,0.1,0.23,1.0,1.1,4.7,2.5,19.0,15.0,2.2,0.9,3.9,5.0,0.53,1.2,0.235771770905797
46.4,5.8,1.0,5.6,8.0,16.0,0.0,0.51,14.0,34.0,0.175,0.1,2.0,7.0,0.07,0.02,0.1,0.14,0.6,4.1,4.3,4.4,1.0,12.0,3.9,2.0,0.4,0.9,0.43,1.0,0.23169158237047
21.2,3.4,2.2,11.6,23.6,11.2,0.0,0.5,14.0,31.0,0.175,0.1,2.0,23.0,0.105,0.06,0.1,0.29,2.0,3.4,4.8,5.0,18.0,8.0,0.8,0.5,2.6,2.8,1.42,2.5,0.235382431823152
21.2,3.4,2.2,11.6,23.6,11.2,0.0,0.5,14.0,31.0,0.175,0.1,2.0,23.0,0.105,0.06,0.1,0.29,2.0,3.4,4.8,5.0,18.0,8.0,0.8,0.5,2.6,2.8,1.42,2.5,0.235382431823152
21.2,3.4,2.2,11.6,23.6,11.2,0.0,0.5,14.0,31.0,0.175,0.1,2.0,23.0,0.105,0.06,0.1,0.29,2.0,3.4,4.8,5.0,18.0,8.0,0.8,0.5,2.6,2.8,1.42,2.5,0.235382431823152
44.0,2.2,1.0,6.8,5.6,34.0,0.0,0.51,14.0,27.0,0.07,0.07,2.0,16.0,0.105,0.04,0.1,0.27,0.7,1.9,1.6,3.3,19.0,1.0,1.7,3.6,4.6,1.7,0.43,1.3,0.23514915704366
6.8,4.6,7.0,10.4,6.8,42.4,0.0,0.51,14.0,28.0,0.14,0.02,2.0,34.0,0.14,0.08,0.1,0.36,0.6,1.5,4.3,2.5,0.0,26.0,2.1,3.2,1.9,2.9,0.57,2.1,0.230056745824203
20.0,8.2,2.2,17.6,21.2,36.4,0.0,0.5,14.0,35.0,0.175,0.01,2.0,16.0,0.14,0.07,0.1,0.41,1.1,2.4,4.4,3.1,11.0,30.0,0.3,4.7,2.5,4.7,0.55,2.3,0.234755902548907
21.2,10.6,2.2,10.4,20.0,49.6,0.0,0.51,14.0,18.0,0.105,0.09,2.0,14.0,0.175,0.1,0.1,0.33,1.9,2.4,5.0,4.5,19.0,21.0,4.1,4.0,3.7,3.8,0.49,1.3,0.227007859550869
20.0,7.0,2.2,12.8,20.0,35.2,0.0,0.5,14.0,21.0,0.175,0.04,2.0,10.0,0.175,0.01,0.1,0.28,1.4,2.7,3.9,3.9,14.0,6.0,2.8,5.0,3.9,3.2,1.07,3.0,0.23317216654402
45.2,2.2,1.0,4.4,3.2,8.8,0.0,0.51,14.0,34.0,0.07,0.06,2.0,26.0,0.175,0.08,0.1,0.28,0.4,0.9,1.6,2.1,20.0,12.0,3.6,1.3,2.1,0.7,0.18,1.5,0.23673117653831
20.0,7.0,2.2,26.0,4.4,47.2,0.0,0.51,14.0,23.0,0.175,0.07,2.0,15.0,0.175,0.01,0.1,0.48,0.5,0.5,2.1,3.2,9.0,2.0,0.6,0.8,4.8,5.0,0.27,1.1,0.224587964922587
20.0,7.0,2.2,26.0,4.4,47.2,0.0,0.51,14.0,23.0,0.175,0.07,2.0,15.0,0.175,0.01,0.1,0.48,0.5,0.5,2.1,3.2,9.0,2.0,0.6,0.8,4.8,5.0,0.27,1.1,0.224587964922587
20.0,7.0,2.2,26.0,4.4,47.2,0.0,0.51,14.0,23.0,0.175,0.07,2.0,15.0,0.175,0.01,0.1,0.48,0.5,0.5,2.1,3.2,9.0,2.0,0.6,0.8,4.8,5.0,0.27,1.1,0.224587964922587
21.2,8.2,2.2,18.8,9.2,11.2,0.0,0.5,14.0,22.0,0.14,0.04,2.0,13.0,0.14,0.07,0.1,0.19,1.0,2.9,4.1,5.0,8.0,26.0,4.5,3.1,2.3,0.9,0.31,1.6,0.23618997708279
45.2,4.6,1.0,17.6,10.4,13.6,0.0,0.51,14.0,18.0,0.07,0.02,2.0,16.0,0.14,0.09,0.1,0.18,1.3,1.9,2.9,1.8,16.0,20.0,0.4,4.7,3.2,1.5,0.65,1.7,0.231724324236989
20.0,2.2,2.2,10.4,3.2,10.0,0.0,0.5,14.0,19.0,0.105,0.07,2.0,11.0,0.105,0.04,0.1,0.39,0.3,0.6,1.4,4.7,20.0,19.0,3.5,2.9,1.3,3.9,0.23,1.0,0.227304855994391
6.8,7.0,7.0,16.4,4.4,8.8,0.0,0.51,14.0,35.0,0.14,0.02,2.0,26.0,0.07,0.01,0.1,0.38,0.4,3.0,2.3,1.7,20.0,14.0,4.9,3.6,4.8,5.0,0.12,1.3,0.230657095335244
48.8,11.8,1.0,6.8,9.2,48.4,0.0,0.51,14.0,29.0,0.175,0.05,2.0,28.0,0.105,0.02,0.1,0.19,0.8,2.5,3.1,3.2,13.0,14.0,0.9,4.2,4.4,1.4,0.57,1.1,0.217667294331113
5.6,8.2,8.2,11.6,9.2,26.8,0.0,0.5,14.0,21.0,0.035,0.01,2.0,10.0,0.07,0.07,0.1,0.27,0.6,1.6,3.7,2.9,19.0,15.0,0.3,3.3,4.8,2.4,0.1,1.7,0.221835307907463
10.4,7.0,4.6,18.8,22.4,31.6,0.0,0.5,14.0,25.0,0.175,0.03,2.0,35.0,0.175,0.1,0.1,0.26,2.1,2.4,5.0,4.2,25.0,12.0,3.8,1.7,3.6,0.1,1.75,2.6,0.227801287053093
6.8,9.4,7.0,16.4,8.0,26.8,0.0,0.5,14.0,28.0,0.105,0.05,2.0,20.0,0.14,0.09,0.1,0.24,1.0,1.4,3.4,1.8,10.0,3.0,2.5,4.7,0.7,1.1,0.38,1.3,0.240057144530854
10.4,10.6,4.6,4.4,14.0,44.8,0.0,0.51,14.0,33.0,0.175,0.02,2.0,12.0,0.14,0.03,0.1,0.33,1.1,4.4,2.6,3.0,8.0,30.0,4.6,4.0,0.1,2.7,0.85,2.0,0.223273223932414
8.0,3.4,5.8,8.0,8.0,42.4,0.0,0.51,14.0,4.0,0.175,0.08,2.0,7.0,0.14,0.02,0.1,0.48,0.6,0.4,4.0,2.3,13.0,4.0,0.9,1.5,2.0,1.2,0.25,1.5,0.217980205128969
10.4,10.6,4.6,18.8,22.4,34.0,0.0,0.51,14.0,19.0,0.14,0.01,2.0,14.0,0.175,0.06,0.1,0.44,2.2,1.8,4.5,3.7,29.0,17.0,1.5,3.7,0.5,1.1,1.65,3.0,0.225503652442523
46.4,9.4,1.0,11.6,6.8,41.2,0.0,0.5,14.0,33.0,0.14,0.1,2.0,10.0,0.175,0.06,0.1,0.39,0.7,4.5,1.8,2.9,25.0,23.0,1.3,1.8,3.7,0.4,0.12,1.6,0.231165004101647
22.4,4.6,2.2,11.6,4.4,17.2,0.0,0.5,14.0,35.0,0.14,0.02,2.0,5.0,0.14,0.04,0.1,0.27,0.4,4.1,3.1,2.8,10.0,29.0,2.3,3.1,1.6,2.0,0.28,1.0,0.227197239331757
48.8,7.0,1.0,3.2,3.2,44.8,0.0,0.5,14.0,35.0,0.105,0.09,2.0,28.0,0.175,0.07,0.1,0.42,0.4,2.8,1.3,4.2,30.0,27.0,2.4,4.5,1.0,0.9,0.17,1.1,0.220537211747316
5.6,2.2,8.2,4.4,6.8,37.6,0.0,0.51,14.0,31.0,0.105,0.04,2.0,27.0,0.105,0.06,0.1,0.25,0.9,3.2,4.2,3.4,25.0,3.0,0.5,1.6,2.2,1.5,0.13,1.9,0.229828366386188
6.8,11.8,7.0,3.2,8.0,44.8,0.0,0.51,14.0,20.0,0.035,0.02,2.0,14.0,0.175,0.03,0.1,0.2,0.6,2.5,4.1,4.3,3.0,2.0,1.3,4.6,4.7,4.5,0.15,3.6,0.229368131440705
6.8,11.8,7.0,3.2,8.0,44.8,0.0,0.51,14.0,20.0,0.035,0.02,2.0,14.0,0.175,0.03,0.1,0.2,0.6,2.5,4.1,4.3,3.0,2.0,1.3,4.6,4.7,4.5,0.15,3.6,0.229368131440705
6.8,11.8,7.0,3.2,8.0,44.8,0.0,0.51,14.0,20.0,0.035,0.02,2.0,14.0,0.175,0.03,0.1,0.2,0.6,2.5,4.1,4.3,3.0,2.0,1.3,4.6,4.7,4.5,0.15,3.6,0.229368131440705
48.8,5.8,1.0,11.6,8.0,24.4,0.0,0.51,14.0,35.0,0.105,0.07,2.0,23.0,0.035,0.02,0.1,0.4,0.4,0.4,3.5,3.8,9.0,3.0,2.3,0.8,2.1,0.5,0.17,3.0,0.224178872912012
6.8,9.4,7.0,5.6,11.6,12.4,0.0,0.51,14.0,19.0,0.105,0.04,2.0,20.0,0.105,0.06,0.1,0.18,0.8,1.7,3.4,4.7,2.0,19.0,2.0,4.7,0.5,1.1,0.61,3.0,0.221883356814175
8.0,4.6,5.8,16.4,26.0,31.6,0.0,0.5,14.0,23.0,0.07,0.05,2.0,32.0,0.105,0.01,0.1,0.11,2.2,2.1,4.3,3.7,13.0,5.0,2.9,3.9,1.7,1.6,0.13,3.6,0.221996526019472
10.4,11.8,4.6,11.6,8.0,4.0,0.0,0.5,14.0,27.0,0.14,0.05,2.0,34.0,0.105,0.1,0.1,0.22,0.8,1.5,2.4,4.2,24.0,14.0,3.8,1.7,4.4,1.1,0.63,1.5,0.221822472997109
14.0,8.2,3.4,24.8,18.8,11.2,0.0,0.51,14.0,22.0,0.07,0.02,2.0,7.0,0.105,0.01,0.1,0.1,0.9,1.6,3.8,4.0,5.0,13.0,4.6,3.6,2.8,0.5,0.78,2.3,0.222003866629332
10.4,9.4,4.6,8.0,14.0,25.6,0.0,0.51,14.0,33.0,0.07,0.01,2.0,10.0,0.07,0.01,0.1,0.13,1.2,3.1,3.5,4.1,16.0,29.0,4.8,4.5,2.5,2.6,0.43,1.0,0.221744687181055
14.0,5.8,3.4,12.8,12.8,29.2,0.0,0.5,14.0,35.0,0.14,0.01,2.0,21.0,0.14,0.07,0.1,0.31,1.4,1.8,2.2,5.0,3.0,5.0,0.6,0.1,4.7,2.0,0.29,1.9,0.221263699379329
