w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_leg_center
6.8,2.2,2.2,21.2,6.8,48.4,0.0,0.51,14.0,34.0,0.105,0.09,2.0,27.0,0.035,0.01,0.1,0.48,0.8,2.4,2.8,3.9,6.0,8.0,1.4,3.0,3.9,1.7,0.17,2.2,0.147448771543382
6.8,2.2,2.2,18.8,14.0,36.4,0.0,0.51,14.0,23.0,0.14,0.08,2.0,17.0,0.105,0.06,0.1,0.43,0.8,2.8,3.8,3.8,16.0,17.0,1.5,1.7,2.3,2.4,0.28,3.2,0.162642486950316
16.4,11.8,1.0,5.6,6.8,20.8,0.0,0.5,14.0,21.0,0.035,0.03,2.0,20.0,0.07,0.05,0.1,0.49,0.8,0.8,4.8,3.5,30.0,28.0,0.6,1.8,1.4,3.8,0.12,1.1,0.216114073833469
16.4,2.2,1.0,11.6,5.6,13.6,0.0,0.51,14.0,12.0,0.175,0.02,2.0,6.0,0.105,0.09,0.1,0.34,0.6,0.7,2.9,4.6,21.0,20.0,1.5,2.1,4.4,1.3,0.31,1.2,0.106910271561469
8.0,5.8,2.2,23.6,18.8,28.0,0.0,0.51,14.0,5.0,0.175,0.04,2.0,12.0,0.14,0.04,0.1,0.2,1.1,0.3,4.8,4.7,7.0,25.0,1.4,1.8,0.1,0.4,0.21,3.0,0.116045843735082
8.0,10.6,2.2,12.8,8.0,40.0,0.0,0.5,14.0,14.0,0.105,0.07,2.0,26.0,0.175,0.09,0.1,0.4,0.7,1.0,3.3,3.9,6.0,20.0,3.3,1.0,1.1,2.1,0.39,1.2,0.195362211998759
18.8,5.8,1.0,11.6,8.0,26.8,0.0,0.51,14.0,34.0,0.175,0.07,2.0,7.0,0.14,0.06,0.1,0.48,0.4,3.3,4.0,2.7,14.0,19.0,3.2,2.1,4.4,2.3,0.18,1.9,0.0951786850328276
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,0.135938545883633
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,0.135938545883633
8.0,8.2,2.2,18.8,17.6,26.8,0.0,0.51,14.0,30.0,0.14,0.05,2.0,33.0,0.14,0.09,0.1,0.16,1.9,3.1,3.7,4.9,10.0,30.0,1.8,0.8,1.3,2.0,0.26,2.5,0.135938545883633
